seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.7758749127388,0.5058997273445129,0.37650933861732483,0.6345342993736267,0.43171806167400884,0.7925043702125549,0.47345131635665894,0.4012500047683716,0.6453447341918945,0.43437077131258456,0.8525688648223877,0.38053098320961,0.5972222089767456,0.7402291297912598,0.46486486486486484,0.8565400838851929,0.38348081707954407,0.6190476417541504,0.7516130208969116,0.47358834244080145,0.8
30,0.8078927993774414,0.4764011800289154,0.4353099763393402,0.6636543869972229,0.45492957746478874,0.8019359707832336,0.49410030245780945,0.42405062913894653,0.6590768694877625,0.45640326975476836,0.8503350615501404,0.45870205760002136,0.5685557723045349,0.7315782904624939,0.5077551020408163,0.8552990555763245,0.4528023600578308,0.5915221571922302,0.7429121732711792,0.5129490392648286,0.8
2022,0.8153387904167175,0.49852508306503296,0.45552560687065125,0.6760439276695251,0.47605633802816905,0.7907669544219971,0.49852508306503296,0.4019024968147278,0.6476262807846069,0.445029624753127,0.8416480422019958,0.41002950072288513,0.538759708404541,0.7124484777450562,0.46566164154103856,0.8505832552909851,0.4203539788722992,0.5769230723381042,0.7328745126724243,0.48634812286689416,0.7000000000000001
9,0.8031769394874573,0.4719763994216919,0.42384105920791626,0.6572473049163818,0.4466154919748779,0.7503102421760559,0.5206489562988281,0.3413926362991333,0.6164392232894897,0.41238317757009346,0.8471084833145142,0.4115044176578522,0.5625,0.724782407283783,0.4752981260647359,0.8525688648223877,0.389380544424057,0.5945945978164673,0.7395567297935486,0.47058823529411764,0.8500000000000001
49,0.791759729385376,0.5117993950843811,0.40584796667099,0.6507816314697266,0.45270711024135685,0.7997021675109863,0.4601770043373108,0.41434264183044434,0.6513105034828186,0.4360587002096436,0.8508314490318298,0.34808260202407837,0.597468376159668,0.7379196286201477,0.4398881640260951,0.8505832552909851,0.34808260202407837,0.5959596037864685,0.7371485233306885,0.4394785847299814,0.8
1,0.8073963522911072,0.44690266251564026,0.43039771914482117,0.6588078737258911,0.43849493487698993,0.7855547070503235,0.45132744312286377,0.3834586441516876,0.6341620087623596,0.4146341463414634,0.8198063969612122,0.5545722842216492,0.4699999988079071,0.6882362365722656,0.5087956698240866,0.8351948261260986,0.48672565817832947,0.5108358860015869,0.7039843201637268,0.4984894259818731,0.55
2,0.7895259261131287,0.525073766708374,0.4036281108856201,0.6506542563438416,0.45641025641025634,0.7895259261131287,0.47050148248672485,0.3948019742965698,0.6416730284690857,0.42934051144010765,0.8513278961181641,0.33480826020240784,0.6053333282470703,0.7409534454345703,0.4311490978157645,0.8533135056495667,0.33480826020240784,0.6185286045074463,0.7476859092712402,0.43444976076555025,0.8500000000000001
3,0.7907669544219971,0.5353982448577881,0.40740740299224854,0.6535125374794006,0.4627151051625239,0.7525440454483032,0.508849561214447,0.34192270040512085,0.6158289313316345,0.40901007705986964,0.8538098931312561,0.39085546135902405,0.600907027721405,0.7429006099700928,0.4736371760500447,0.8595184683799744,0.37020647525787354,0.6435897350311279,0.7631248831748962,0.4700374531835206,0.8500000000000001
37,0.8016877770423889,0.5029498338699341,0.42465752363204956,0.6600969433784485,0.4604996623902768,0.7925043702125549,0.48230087757110596,0.40270936489105225,0.6468007564544678,0.43892617449664434,0.843137264251709,0.4247787594795227,0.5433962345123291,0.7159678936004639,0.4768211920529802,0.8528170585632324,0.41002950072288513,0.590233564376831,0.7389054298400879,0.48389904264577893,0.8
8,0.7820799350738525,0.5648967623710632,0.3964803218841553,0.6500847935676575,0.46593673965936744,0.7855547070503235,0.501474916934967,0.39260968565940857,0.6428745985031128,0.44041450777202074,0.860511302947998,0.2566371560096741,0.75,0.8086317777633667,0.3824175824175825,0.8612558841705322,0.2566371560096741,0.7598253488540649,0.8135968446731567,0.38368246968026465,0.9500000000000001
mean,0.7965499758720398,0.5039823055267334,0.41596049070358276,0.6555418372154236,0.4546083277882616,0.7840903401374817,0.48613566160202026,0.3898440897464752,0.6401137113571167,0.43165709607103225,0.8471084833145142,0.3970501720905304,0.5834142565727234,0.7343648672103882,0.462628861669801,0.8527673482894897,0.3852507174015045,0.6101060509681702,0.7471402883529663,0.46535104768536106,0.7949999999999999
std,0.0125264348462224,0.03379874303936958,0.022482963278889656,0.01076122559607029,0.01309467082471792,0.01800759881734848,0.02227306365966797,0.02774544432759285,0.014178218320012093,0.015373087360085917,0.010992047376930714,0.07892288267612457,0.07152456790208817,0.031136052682995796,0.037427008782468955,0.007125463802367449,0.06448125094175339,0.06309129297733307,0.027891196310520172,0.03735698694612328,0.10658851303546321
